A,F,ERN,TOTAL,GE10,OC1-5,PPS,EL	10.98 
A,F,ERN,TOTAL,GE10,OC1-5,PPS,ES	14.73 
A,F,ERN,TOTAL,GE10,OC1-5,PPS,EU27_2020	17.7 
A,F,ERN,TOTAL,GE10,OC1-5,PPS,FI	16.96 
A,F,ERN,TOTAL,GE10,OC1-5,PPS,FR	18.39 
A,F,ERN,TOTAL,GE10,OC1-5,PPS,HR	11.62 
A,F,ERN,TOTAL,GE10,OC1-5,PPS,HU	11.46 
A,F,ERN,TOTAL,GE10,OC1-5,PPS,IE	26.28 
A,F,ERN,TOTAL,GE10,OC1-5,PPS,IS	17.62 
A,F,ERN,TOTAL,GE10,OC1-5,PPS,IT	17.61 
A,F,ERN,TOTAL,GE10,OC1-5,PPS,LT	14.94 
A,F,ERN,TOTAL,GE10,OC1-5,PPS,LU	25.48 
A,F,ERN,TOTAL,GE10,OC1-5,PPS,LV	11.47 
A,F,ERN,TOTAL,GE10,OC1-5,PPS,MT	13.79 
A,F,ERN,TOTAL,GE10,OC1-5,PPS,NL	17.54 
A,F,ERN,TOTAL,GE10,OC1-5,PPS,NO	21.16 
A,F,ERN,TOTAL,GE10,OC1-5,PPS,PL	14.61 
A,F,ERN,TOTAL,GE10,OC1-5,PPS,PT	11.32 
A,F,ERN,TOTAL,GE10,OC1-5,PPS,RO	15.09 
A,F,ERN,TOTAL,GE10,OC1-5,PPS,RS	9.69 
A,F,ERN,TOTAL,GE10,OC1-5,PPS,SE	16.52 
A,F,ERN,TOTAL,GE10,OC1-5,PPS,SI	15.55 
A,F,ERN,TOTAL,GE10,OC1-5,PPS,SK	11.26 
A,F,ERN,TOTAL,GE10,OC2,EUR,AL	3.84 
A,F,ERN,TOTAL,GE10,OC2,EUR,AT	24.75 
A,F,ERN,TOTAL,GE10,OC2,EUR,BA	8.32 
A,F,ERN,TOTAL,GE10,OC2,EUR,BE	40.5 
A,F,ERN,TOTAL,GE10,OC2,EUR,BG	7.34 
A,F,ERN,TOTAL,GE10,OC2,EUR,CH	51.5 
A,F,ERN,TOTAL,GE10,OC2,EUR,CY	17.91 
A,F,ERN,TOTAL,GE10,OC2,EUR,CZ	11.62 
A,F,ERN,TOTAL,GE10,OC2,EUR,DE	28.59 
A,F,ERN,TOTAL,GE10,OC2,EUR,DK	35.46 
A,F,ERN,TOTAL,GE10,OC2,EUR,EA19	24.3 
A,F,ERN,TOTAL,GE10,OC2,EUR,EA20	24.15 
A,F,ERN,TOTAL,GE10,OC2,EUR,EE	12.79 
A,F,ERN,TOTAL,GE10,OC2,EUR,EL	11.1 
A,F,ERN,TOTAL,GE10,OC2,EUR,ES	19.08 
A,F,ERN,TOTAL,GE10,OC2,EUR,EU27_2020	21.86 
A,F,ERN,TOTAL,GE10,OC2,EUR,FI	26.53 
A,F,ERN,TOTAL,GE10,OC2,EUR,FR	23.92 
A,F,ERN,TOTAL,GE10,OC2,EUR,HR	11.21 
A,F,ERN,TOTAL,GE10,OC2,EUR,HU	8.91 
A,F,ERN,TOTAL,GE10,OC2,EUR,IE	37.69 
A,F,ERN,TOTAL,GE10,OC2,EUR,IS	31.31 
A,F,ERN,TOTAL,GE10,OC2,EUR,IT	23.5 
A,F,ERN,TOTAL,GE10,OC2,EUR,LT	13.11 
A,F,ERN,TOTAL,GE10,OC2,EUR,LU	40.65 
A,F,ERN,TOTAL,GE10,OC2,EUR,LV	11.52 
A,F,ERN,TOTAL,GE10,OC2,EUR,MT	13.99 
A,F,ERN,TOTAL,GE10,OC2,EUR,NL	26.93 
A,F,ERN,TOTAL,GE10,OC2,EUR,NO	33.79 
A,F,ERN,TOTAL,GE10,OC2,EUR,PL	10.74 
A,F,ERN,TOTAL,GE10,OC2,EUR,PT	13.66 
A,F,ERN,TOTAL,GE10,OC2,EUR,RO	11.03 
A,F,ERN,TOTAL,GE10,OC2,EUR,RS	7.14 
A,F,ERN,TOTAL,GE10,OC2,EUR,SE	23.47 
A,F,ERN,TOTAL,GE10,OC2,EUR,SI	15.66 
A,F,ERN,TOTAL,GE10,OC2,EUR,SK	10.21 
A,F,ERN,TOTAL,GE10,OC2,NAC,AL	457.47 
A,F,ERN,TOTAL,GE10,OC2,NAC,AT	24.75 
A,F,ERN,TOTAL,GE10,OC2,NAC,BA	16.27 
A,F,ERN,TOTAL,GE10,OC2,NAC,BE	40.5 
A,F,ERN,TOTAL,GE10,OC2,NAC,BG	14.36 
A,F,ERN,TOTAL,GE10,OC2,NAC,CH	51.74 
A,F,ERN,TOTAL,GE10,OC2,NAC,CY	17.91 
A,F,ERN,TOTAL,GE10,OC2,NAC,CZ	285.42 
A,F,ERN,TOTAL,GE10,OC2,NAC,DE	28.59 
A,F,ERN,TOTAL,GE10,OC2,NAC,DK	263.82 
A,F,ERN,TOTAL,GE10,OC2,NAC,EA19	24.3 
A,F,ERN,TOTAL,GE10,OC2,NAC,EA20	24.99 
A,F,ERN,TOTAL,GE10,OC2,NAC,EE	12.79 
A,F,ERN,TOTAL,GE10,OC2,NAC,EL	11.1 
A,F,ERN,TOTAL,GE10,OC2,NAC,ES	19.08 
A,F,ERN,TOTAL,GE10,OC2,NAC,EU27_2020	116.82 
A,F,ERN,TOTAL,GE10,OC2,NAC,FI	26.53 
A,F,ERN,TOTAL,GE10,OC2,NAC,FR	23.92 
A,F,ERN,TOTAL,GE10,OC2,NAC,HR	84.49 
A,F,ERN,TOTAL,GE10,OC2,NAC,HU	3485 
A,F,ERN,TOTAL,GE10,OC2,NAC,IE	37.69 
A,F,ERN,TOTAL,GE10,OC2,NAC,IS	4454.05 
A,F,ERN,TOTAL,GE10,OC2,NAC,IT	23.5 
A,F,ERN,TOTAL,GE10,OC2,NAC,LT	13.11 
A,F,ERN,TOTAL,GE10,OC2,NAC,LU	40.65 
