A,GE10,C-E,E_ITSP2,PC_ENT,SI	21.64 	20.37 	21.48 	21.09 	20.41 	21.68 	21.70 	18.29 	25.05 	18.39 
A,GE10,C-E,E_ITSP2,PC_ENT,SK	22.83 	21.02 	21.13 	21.75 	20.63 	18.37 	21.20 	18.69 	18.80 	17.55 
A,GE10,C-E,E_ITSP2,PC_ENT,TR	: 	: 	: u	: 	: 	11.10 	14.97 	13.04 	17.92 	14.98 
A,GE10,C-E,E_ITSP2,PC_ENT,UK	29.31 	23.91 	23.61 	25.33 	: u	23.93 	: u	: u	: 	: 
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,AT	35.69 	31.22 	31.86 	35.27 	30.24 	27.88 	29.24 	: 	: 	: 
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,BA	: 	: 	: 	: 	: 	13.61 	13.94 	: 	: 	: 
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,BE	33.38 	: u	: u	: u	: u	: u	: u	: 	: 	: 
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,BG	11.93 	19.17 	18.57 	17.56 	19.06 	15.71 	17.24 	: 	: 	: 
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,CY	13.78 	16.62 	17.06 	16.53 	14.88 	16.87 	18.86 	: 	: 	: 
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,CZ	33.17 	23.49 	22.64 	24.09 	23.65 	23.14 	23.53 	: 	: 	: 
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,DE	26.74 	26.93 	26.22 	25.10 	24.50 	26.08 	24.64 	: 	: 	: 
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,DK	28.57 	26.79 	24.25 	25.99 	26.23 	25.85 	27.96 	: 	: 	: 
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,EA	21.98 	22.15 	22.73 	22.60 	21.38 	21.25 	21.25 	: 	: 	: 
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,EE	15.46 	13.76 	13.89 	14.21 	14.99 	13.07 	12.94 	: 	: 	: 
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,EL	: u	: u	: u	: u	: u	: u	: u	: 	: 	: 
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,ES	19.68 	23.43 	26.47 	26.77 	20.66 	17.52 	16.31 	: 	: 	: 
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,EU15	22.97 	22.50 	23.04 	23.07 	21.93 	21.76 	: 	: 	: 	: 
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,EU27_2007	21.97 	21.24 	21.73 	21.75 	20.73 	20.66 	: 	: 	: 	: 
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,EU27_2020	21.26 	20.96 	21.54 	21.35 	20.37 	20.32 	21.51 	: 	: 	: 
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,EU28	21.95 	21.23 	21.74 	21.72 	20.72 	20.66 	22.09 	: 	: 	: 
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,FI	35.30 	28.20 	31.24 	26.83 	27.90 	30.59 	29.34 	: 	: 	: 
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,FR	16.39 	17.07 	18.39 	16.98 	19.29 	18.97 	20.26 	: 	: 	: 
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,HR	20.16 	19.71 	24.36 	18.59 	19.14 	20.30 	20.63 	: 	: 	: 
