geo,nace_r2,spec_ict,year
MT,F,16.14,2024
MT,G,25.25,2020
MT,G,29.11,2022
MT,G,28.59,2024
MT,H,23.58,2020
MT,H,31.57,2022
MT,H,33.95,2024
MT,I,15.46,2020
MT,I,17.78,2022
MT,I,23.53,2024
MT,J,76.9,2020
MT,J,82.46,2022
MT,J,87.43,2024
MT,L,29.71,2020
MT,L,37.6,2022
MT,L,28.23,2024
MT,M,34.76,2020
MT,M,43.98,2022
MT,M,44.7,2024
MT,N,29.69,2020
MT,N,34.72,2022
MT,N,32.06,2024
NL,C,25.52,2020
NL,C,31.64,2022
NL,C,30.69,2024
NL,D,50.29,2020
NL,D,71.19,2022
NL,D,60.42,2024
NL,E,21.36,2020
NL,E,30.24,2022
NL,E,33.67,2024
NL,F,11.95,2020
NL,F,14.88,2022
NL,F,14.9,2024
NL,G,23.54,2020
NL,G,31.42,2022
NL,G,31.27,2024
NL,H,19.93,2020
NL,H,24.93,2022
NL,H,24.06,2024
NL,I,3.63,2020
NL,I,10.32,2022
NL,I,6.98,2024
NL,J,74.24,2020
NL,J,80.61,2022
NL,J,82.11,2024
NL,L,23.79,2020
NL,L,33.67,2022
NL,L,32.98,2024
NL,M,28.58,2020
NL,M,40.46,2022
NL,M,37.35,2024
NL,N,17.11,2020
NL,N,21.95,2022
NL,N,21.3,2024
NO,C,18.8,2020
NO,C,19.85,2022
NO,C,17.77,2024
NO,D,47.33,2020
NO,D,63.61,2022
NO,D,62.5,2024
NO,E,14.34,2020
NO,E,19.27,2022
NO,E,17.93,2024
NO,F,5.9,2020
NO,F,7.42,2022
NO,F,5.4,2024
NO,G,13.74,2020
NO,G,18.95,2022
NO,G,25.59,2024
NO,H,12.21,2020
NO,H,15.39,2022
NO,H,12.2,2024
NO,I,8.91,2020
NO,I,9.21,2022
NO,I,9.11,2024
NO,J,65.86,2020
NO,J,74.2,2022
NO,J,72.05,2024
NO,L,19.66,2020
NO,L,26.43,2022
NO,L,17.71,2024
NO,M,18.85,2020
NO,M,25.33,2022
NO,M,30.89,2024
NO,N,14.25,2020
NO,N,15.34,2022
NO,N,17.18,2024
PL,C,27.28,2020
PL,C,32.05,2022
PL,C,25.87,2024
PL,D,38.31,2020
PL,D,49.04,2022
PL,D,50.94,2024
PL,E,29.35,2020
PL,E,37.57,2022
PL,E,31.14,2024
PL,F,14.38,2020
PL,F,19.78,2022
PL,F,14.3,2024
PL,G,23.18,2020
PL,G,29.2,2022
PL,G,25.36,2024
PL,H,16.08,2020
PL,H,25.32,2022
PL,H,18.01,2024
PL,I,14.44,2020
PL,I,22.17,2022
PL,I,17.37,2024
PL,J,81.65,2020
PL,J,84.35,2022
PL,J,85.02,2024
PL,L,23.72,2020
PL,L,30.37,2022
PL,L,21.97,2024
PL,M,33.83,2020
PL,M,43.31,2022
PL,M,41.68,2024
PL,N,24.04,2020
PL,N,31.28,2022
PL,N,27.69,2024
PT,C,18.18,2020
PT,C,20.11,2022
PT,C,18.84,2024
PT,D,47.78,2020
PT,D,49.51,2022
PT,D,50.0,2024
PT,E,27.16,2020
PT,E,28.14,2022
PT,E,40.7,2024
PT,F,10.4,2020
PT,F,8.91,2022
PT,F,8.19,2024
PT,G,21.4,2020
PT,G,19.41,2022
PT,G,18.74,2024
PT,H,17.89,2020
PT,H,14.75,2022
PT,H,15.64,2024
PT,I,11.93,2020
PT,I,11.48,2022
PT,I,10.68,2024
PT,J,84.59,2020
