geo,nace_r2,real_wage,year
DE,M,34.49905482041588,2020
DE,M,33.699633699633694,2021
DE,M,34.11962931760741,2022
DE,M,32.32724384432089,2023
DE,M,33.798449612403104,2024
DE,M,36.770280515542076,2025
DE,N,18.620037807183365,2020
DE,N,18.40659340659341,2021
DE,N,18.449873631002525,2022
DE,N,18.7450357426529,2023
DE,N,19.379844961240313,2024
DE,N,19.48445792266869,2025
DE,O,26.370510396975426,2020
DE,O,25.82417582417582,2021
DE,O,23.420387531592247,2022
DE,O,22.7164416203336,2023
DE,O,23.333333333333332,2024
DE,O,23.730098559514783,2025
DE,P,27.693761814744803,2020
DE,P,27.106227106227106,2021
DE,P,24.51558550968829,2022
DE,P,23.510722795869736,2023
DE,P,24.031007751937985,2024
DE,P,24.715693707354056,2025
DE,Q,24.48015122873346,2020
DE,Q,24.084249084249084,2021
DE,Q,23.16764953664701,2022
DE,Q,22.795869737887212,2023
DE,Q,23.565891472868216,2024
DE,Q,24.033358605003787,2025
DE,R,26.370510396975426,2020
DE,R,26.373626373626376,2021
DE,R,24.094355518112888,2022
DE,R,23.749007148530577,2023
DE,R,24.88372093023256,2024
DE,R,24.715693707354056,2025
DE,S,24.102079395085067,2020
DE,S,23.809523809523807,2021
DE,S,22.32518955349621,2022
DE,S,21.604447974583003,2023
DE,S,22.170542635658915,2024
DE,S,22.517058377558755,2025
DK,C,40.03887269193392,2020
DK,C,40.51477597712106,2021
DK,C,38.3128295254833,2022
DK,C,38.01020408163266,2023
DK,C,38.87489504617968,2024
DK,C,39.076669414674356,2025
DK,D,49.75704567541302,2020
DK,D,52.52621544327931,2021
DK,D,52.81195079086116,2022
DK,D,54.33673469387755,2023
DK,D,56.75902602854743,2024
DK,D,58.77988458367683,2025
DK,F,35.95724003887269,2020
DK,F,36.79694947569113,2021
DK,F,34.27065026362039,2022
DK,F,34.18367346938776,2023
DK,F,34.67674223341729,2024
DK,F,34.460016488046165,2025
DK,G,35.37414965986394,2020
DK,G,35.462345090562444,2021
DK,G,33.30404217926186,2022
DK,G,32.90816326530613,2023
DK,G,33.50125944584383,2024
DK,G,33.553173948887064,2025
DK,H,36.345966958211854,2020
DK,H,36.41563393708294,2021
DK,H,34.3585237258348,2022
DK,H,34.01360544217687,2023
DK,H,34.00503778337532,2024
DK,H,33.882934872217646,2025
DK,J,47.52186588921282,2020
DK,J,48.14108674928503,2021
DK,J,45.342706502636204,2022
DK,J,44.81292517006803,2023
DK,J,45.75986565910999,2024
DK,J,46.33140972794724,2025
DK,K,53.64431486880466,2020
DK,K,54.71877979027645,2021
DK,K,51.31810193321616,2022
DK,K,51.78571428571429,2023
DK,K,52.22502099076407,2024
DK,K,52.51442704039572,2025
DK,L,37.90087463556851,2020
DK,L,38.989513822688274,2021
DK,L,37.08260105448155,2022
DK,L,36.564625850340136,2023
DK,L,37.36356003358522,2024
DK,L,37.51030502885408,2025
DK,M,47.52186588921282,2020
DK,M,48.33174451858913,2021
