geo,nace_r2,year,share_high_skill
EL,H,2020,18.605792832596958
EL,H,2021,19.636720667648504
EL,H,2022,17.92828685258964
EL,H,2023,20.552286102308738
EL,H,2024,17.267713194739077
EL,H,2025,20.512820512820515
EL,I,2020,11.12451009948749
EL,I,2021,12.312599681020735
EL,I,2022,11.443468715697037
EL,I,2023,13.901098901098901
EL,I,2024,15.2978220939386
EL,I,2025,12.265135699373696
EL,J,2020,61.11675126903554
EL,J,2021,62.475442043221996
EL,J,2022,64.4736842105263
EL,J,2023,67.71428571428571
EL,J,2024,68.05687203791469
EL,J,2025,68.45397676496871
EL,K,2020,66.78571428571428
EL,K,2021,68.53333333333335
EL,K,2022,69.9588477366255
EL,K,2023,67.07021791767555
EL,K,2024,75.54744525547444
EL,K,2025,71.23893805309734
EL,M,2020,83.08390022675736
EL,M,2021,78.00729040097205
EL,M,2022,81.1439842209073
EL,M,2023,84.82003129890454
EL,M,2024,85.16902944383861
EL,M,2025,81.47659854976929
EL,N,2020,13.925570228091239
EL,N,2021,11.780104712041883
EL,N,2022,16.76040494938133
EL,N,2023,15.884861407249465
