nace_r2,geo,2020,2021,2022,2023,2024
J,SE,63.2,68.7,72.7,73.2,73.1
J,SI,63.6,69.3,70.3,67.6,64.1
J,SK,73.5,71.4,75.2,72.6,70.1
K,AT,56.9,56.1,55.2,52.7,56.1
K,BE,80.6,82.7,80.0,80.3,80.8
K,BG,76.8,76.7,79.2,78.7,79.8
K,CH,58.0,61.7,63.7,63.7,64.5
K,CY,77.0,80.0,80.0,84.4,85.6
K,CZ,51.4,50.2,51.3,54.2,57.6
K,DE,34.4,36.5,37.9,38.5,38.5
K,DK,52.5,54.3,55.7,55.5,57.2
K,EE,76.0,79.0,70.5,69.5,72.7
K,EL,76.9,72.4,71.2,68.2,75.1
K,ES,80.9,81.5,79.8,81.2,81.7
K,FI,76.3,71.9,72.5,69.6,73.8
K,FR,80.0,77.2,77.9,80.9,79.5
K,HR,56.7,55.1,54.7,57.5,62.3
K,HU,65.8,66.6,66.0,66.5,70.4
K,IE,80.6,81.8,83.2,83.2,84.4
K,IS,71.7,71.3,72.8,73.4,77.7
K,IT,45.7,47.1,48.4,51.5,50.8
K,LT,90.1,93.3,89.0,88.8,85.7
K,LU,77.6,79.5,83.7,80.7,83.3
K,LV,69.0,79.6,76.1,76.0,79.4
K,MT,54.2,58.9,58.0,57.5,60.4
K,NL,64.7,63.0,66.0,65.1,67.0
K,NO,70.6,69.6,74.3,73.4,69.7
K,PL,77.2,77.2,79.6,81.0,82.0
K,PT,58.5,62.2,63.8,67.6,68.1
K,RO,82.3,79.3,77.7,81.0,79.3
K,SE,58.0,60.6,62.7,65.4,61.6
K,SI,70.2,72.9,73.7,72.1,66.1
K,SK,59.0,63.7,65.7,61.4,65.0
L,AT,41.5,41.5,36.9,43.1,46.9
L,BE,46.2,44.1,46.5,58.3,48.3
L,BG,52.1,57.4,59.8,60.4,57.0
L,CH,37.0,36.5,36.7,36.0,38.7
L,CY,64.9,76.5,66.3,74.4,74.1
L,CZ,30.6,33.6,35.6,33.8,30.8
L,DE,28.1,29.4,31.0,31.5,33.2
L,DK,32.2,34.1,36.7,32.5,33.3
L,EE,32.2,36.1,33.5,30.0,30.7
L,EL,57.0,55.2,59.5,56.3,53.8
L,ES,61.3,61.2,58.4,63.3,62.5
L,FI,56.8,51.1,53.0,51.4,49.1
L,FR,49.9,50.1,54.9,53.9,52.6
L,HU,19.4,41.8,47.4,33.5,32.9
L,IT,14.1,25.2,22.6,25.6,25.9
L,LT,59.6,56.1,53.7,54.6,55.2
L,LV,29.0,28.7,27.1,30.8,37.1
L,NL,48.1,51.2,48.4,42.6,41.9
L,NO,49.1,54.4,52.2,39.4,46.5
L,PL,40.7,48.5,50.1,52.2,51.3
L,PT,32.1,40.2,39.0,39.1,37.2
L,RO,52.6,46.5,40.9,37.7,44.3
L,SE,40.6,40.0,40.1,43.5,46.7
L,SI,70.6,54.5,45.7,35.3,38.2
M,AT,62.6,63.5,61.3,62.2,62.3
M,BE,77.8,78.1,78.1,80.1,78.5
M,BG,82.2,82.2,84.7,82.6,85.0
M,CH,62.3,63.6,64.7,65.6,65.8
M,CY,83.3,83.7,82.1,80.8,83.6
M,CZ,60.3,63.6,59.2,60.4,59.1
M,DE,50.8,52.7,53.2,54.7,55.5
M,DK,68.1,69.5,68.1,70.8,71.8
M,EE,68.9,67.0,74.5,77.4,73.2
M,EL,68.0,65.5,68.1,70.4,72.6
M,ES,82.4,83.9,84.5,84.4,82.6
M,FI,75.8,72.5,68.6,69.9,72.9
M,FR,78.7,78.1,77.4,78.6,80.8
M,HR,67.9,62.5,54.0,66.6,63.8
M,HU,70.4,73.8,71.9,69.0,72.4
M,IE,80.2,79.3,79.7,79.3,80.1
M,IS,72.8,70.5,66.0,75.0,78.5
M,IT,42.0,43.7,44.9,45.3,45.1
M,LT,84.3,87.1,85.5,81.9,82.3
M,LU,78.1,80.5,81.6,79.6,84.7
M,LV,78.5,78.6,78.1,77.0,80.1
M,MT,56.9,65.8,66.8,63.4,61.0
M,NL,66.2,65.4,66.2,65.5,65.7
M,NO,76.6,76.1,77.9,80.7,84.3
M,PL,79.1,77.4,77.7,79.5,78.0
M,PT,67.0,70.7,70.9,68.2,69.8
M,RO,78.7,80.1,81.9,78.7,79.3
M,SE,68.0,69.1,71.8,72.4,75.0
M,SI,72.1,69.7,67.9,63.8,64.4
M,SK,66.6,65.6,62.4,67.6,65.1
N,AT,23.7,26.1,25.3,27.4,22.3
N,BE,30.5,32.0,29.2,30.2,29.4
N,BG,21.5,17.7,16.6,20.4,22.1
N,CH,28.3,27.7,26.9,30.0,27.8
N,CY,48.9,36.6,35.1,40.4,47.6
N,CZ,15.1,15.1,15.1,17.0,15.0
N,DE,14.7,14.9,14.5,15.3,16.7
N,DK,25.2,26.4,28.3,25.9,26.8
N,EE,31.0,29.9,34.3,35.1,21.1
N,EL,25.6,30.3,31.8,35.2,32.3
N,ES,26.8,25.5,25.6,25.6,26.5
N,FI,25.7,21.8,22.9,23.9,21.9
N,FR,31.4,33.0,32.9,32.5,34.8
N,HR,16.2,15.5,20.0,23.9,26.7
N,HU,23.2,25.4,22.4,24.0,25.6
N,IE,38.2,40.7,41.9,41.3,37.6
N,IS,35.4,27.8,30.6,40.1,39.4
N,IT,12.7,12.3,12.1,13.7,15.6
N,LT,35.6,38.2,40.6,39.8,42.4
N,LU,28.5,25.4,26.1,32.4,33.5
N,LV,32.0,29.6,30.6,26.6,25.5
N,MT,25.7,24.2,20.1,32.5,30.7
N,NL,28.9,29.8,30.5,28.3,28.0
N,NO,31.4,31.8,29.8,29.9,34.5
N,PL,23.1,20.5,20.4,25.8,27.0
N,PT,18.6,21.5,20.8,23.6,23.4
N,RO,17.6,15.4,16.9,17.6,16.5
N,SE,28.7,29.7,30.2,29.3,30.7
N,SI,19.4,21.7,19.6,15.9,16.1
N,SK,17.7,23.2,25.6,25.0,20.9
NRP,CH,54.1,43.5,41.1,40.6,38.9
NRP,FR,38.7,35.0,39.2,38.4,43.2
NRP,HR,34.0,56.1,46.7,61.4,29.8
