geo,nace_r2,ai_adoption,year
NO,N,21.88,2024
NO,N,32.13,2025
PL,C,2.33,2021
PL,C,2.5949999999999998,2022
PL,C,2.86,2023
PL,C,5.13,2024
PL,C,7.7,2025
PL,D,4.75,2021
PL,D,6.165,2022
PL,D,7.58,2023
PL,D,8.44,2024
PL,D,16.17,2025
PL,E,0.84,2021
PL,E,1.575,2022
PL,E,2.31,2023
PL,E,2.53,2024
PL,E,5.95,2025
PL,F,0.35,2021
PL,F,0.79,2022
PL,F,1.23,2023
PL,F,2.01,2024
PL,F,2.35,2025
PL,G,3.1,2021
PL,G,3.545,2022
PL,G,3.99,2023
PL,G,5.54,2024
PL,G,8.88,2025
PL,H,1.85,2021
PL,H,1.8450000000000002,2022
PL,H,1.84,2023
PL,H,2.46,2024
PL,H,2.97,2025
PL,I,0.99,2021
PL,I,1.3199999999999998,2022
PL,I,1.65,2023
PL,I,2.43,2024
PL,I,5.57,2025
PL,J,16.35,2021
PL,J,16.955,2022
PL,J,17.56,2023
PL,J,32.63,2024
PL,J,38.09,2025
PL,L,1.76,2021
PL,L,2.075,2022
PL,L,2.39,2023
PL,L,4.02,2024
PL,L,4.09,2025
PL,M,6.48,2021
PL,M,7.765000000000001,2022
PL,M,9.05,2023
PL,M,14.45,2024
PL,M,22.16,2025
PL,N,4.16,2021
PL,N,4.48,2022
PL,N,4.8,2023
PL,N,7.72,2024
PL,N,10.47,2025
PT,C,8.58,2021
PT,C,8.66,2022
PT,C,8.74,2023
PT,C,6.78,2024
PT,C,9.94,2025
PT,D,20.37,2021
PT,D,20.630000000000003,2022
PT,D,20.89,2023
PT,D,23.42,2024
PT,D,20.43,2025
PT,E,9.51,2021
PT,E,8.715,2022
PT,E,7.92,2023
PT,E,8.43,2024
PT,E,14.4,2025
PT,F,1.06,2021
PT,F,1.99,2022
PT,F,2.92,2023
PT,F,2.74,2024
PT,F,4.74,2025
PT,G,6.63,2021
PT,G,6.785,2022
PT,G,6.94,2023
PT,G,5.77,2024
PT,G,8.71,2025
PT,H,7.38,2021
PT,H,7.82,2022
PT,H,8.26,2023
PT,H,4.9,2024
PT,H,14.81,2025
PT,I,4.4,2021
PT,I,4.83,2022
PT,I,5.26,2023
PT,I,6.58,2024
PT,I,8.25,2025
PT,N,10.81,2021
PT,N,10.55,2022
PT,N,10.29,2023
PT,N,12.91,2024
PT,N,11.06,2025
RO,C,1.28,2021
RO,C,1.31,2022
RO,C,1.34,2023
RO,C,1.3,2024
RO,C,3.24,2025
RO,D,1.84,2021
