geo,nace_r2,real_wage,year,log_wage,ai_adoption,tert_edu,productivity,log_prod,spec_ict,training_ict,unempl_r,infl_r,gdp,log_gdp
FI,I,18.88,2023,2.94,2.46,14.4,44.36,3.79,8.67,22.74,7.2,4.3,48950.0,10.8
FI,I,19.18,2025,2.95,23.53,14.9,44.94,3.81,10.26,17.41,9.7,1.8,49850.0,10.82
FI,J,35.34,2021,3.57,40.64,69.1,117.71,4.77,86.91,75.13,7.7,2.1,44890.0,10.71
FI,J,33.12,2023,3.5,48.19,63.4,119.35,4.78,88.7,77.58,7.2,4.3,48950.0,10.8
FI,J,34.75,2025,3.55,79.79,70.0,138.64,4.93,83.22,78.54,9.7,1.8,49850.0,10.82
FI,L,25.73,2021,3.25,18.67,51.1,1022.5,6.93,19.66,50.82,7.7,2.1,44890.0,10.71
FI,L,25.2,2023,3.23,18.8,51.4,1054.33,6.96,21.08,59.1,7.2,4.3,48950.0,10.8
FI,L,25.33,2025,3.23,50.93,48.0,1090.18,6.99,26.04,51.34,9.7,1.8,49850.0,10.82
FI,M,31.94,2021,3.46,29.63,72.5,69.41,4.24,38.59,49.07,7.7,2.1,44890.0,10.71
FI,M,29.58,2023,3.39,31.54,69.9,72.36,4.28,41.37,57.06,7.2,4.3,48950.0,10.8
FI,M,30.41,2025,3.41,74.75,72.4,77.83,4.35,40.23,56.55,9.7,1.8,49850.0,10.82
FI,N,19.41,2021,2.97,17.28,21.8,39.98,3.69,29.44,37.18,7.7,2.1,44890.0,10.71
FI,N,19.13,2023,2.95,14.76,23.9,39.55,3.68,29.54,38.78,7.2,4.3,48950.0,10.8
FI,N,20.57,2025,3.02,38.65,24.1,43.65,3.78,32.6,40.22,9.7,1.8,49850.0,10.82
FR,C,26.1,2021,3.26,5.33,36.7,84.19,4.43,19.15,15.91,7.9,2.1,36910.0,10.52
FR,C,25.15,2023,3.22,4.87,39.4,99.39,4.6,20.45,16.57,7.3,5.7,41340.0,10.63
FR,E,24.42,2021,3.2,8.57,30.9,101.31,4.62,15.09,11.95,7.9,2.1,36910.0,10.52
FR,E,23.15,2023,3.14,2.95,26.6,110.45,4.7,17.44,15.59,7.3,5.7,41340.0,10.63
FR,F,23.4,2021,3.15,4.09,23.4,63.19,4.15,6.87,8.73,7.9,2.1,36910.0,10.52
FR,F,22.66,2023,3.12,2.09,24.3,70.65,4.26,4.89,6.01,7.3,5.7,41340.0,10.63
FR,G,22.38,2021,3.11,4.71,35.7,61.59,4.12,14.53,11.73,7.9,2.1,36910.0,10.52
FR,G,21.41,2023,3.06,4.07,36.1,65.39,4.18,16.1,13.6,7.3,5.7,41340.0,10.63
FR,H,21.55,2021,3.07,4.24,27.3,72.1,4.28,13.8,14.25,7.9,2.1,36910.0,10.52
FR,H,21.41,2023,3.06,2.35,28.6,74.04,4.3,8.99,7.72,7.3,5.7,41340.0,10.63
FR,I,17.18,2021,2.84,2.47,24.6,25.36,3.23,6.98,4.27,7.9,2.1,36910.0,10.52
FR,I,16.76,2023,2.82,2.47,23.5,42.96,3.76,7.24,6.21,7.3,5.7,41340.0,10.63
FR,J,33.06,2021,3.5,23.55,81.0,117.55,4.77,70.46,50.75,7.9,2.1,36910.0,10.52
FR,J,31.37,2023,3.45,29.56,83.6,120.56,4.79,80.66,57.69,7.3,5.7,41340.0,10.63
FR,L,26.1,2021,3.26,3.92,50.1,778.07,6.66,29.88,27.01,7.9,2.1,36910.0,10.52
FR,L,24.48,2023,3.2,7.02,53.9,896.58,6.8,34.54,35.25,7.3,5.7,41340.0,10.63
FR,M,32.23,2021,3.47,15.23,78.1,91.21,4.51,23.18,19.22,7.9,2.1,36910.0,10.52
FR,M,30.46,2023,3.42,13.75,78.6,93.46,4.54,26.8,25.08,7.3,5.7,41340.0,10.63
FR,N,19.04,2021,2.95,7.28,33.0,52.35,3.96,19.4,14.23,7.9,2.1,36910.0,10.52
FR,N,18.51,2023,2.92,5.6,32.5,60.14,4.1,14.2,13.55,7.3,5.7,41340.0,10.63
HR,C,10.4,2021,2.34,8.29,17.4,24.52,3.2,16.61,19.05,7.5,2.7,15070.0,9.62
HR,C,10.71,2023,2.37,6.7,15.5,35.11,3.56,15.15,18.26,6.1,8.4,20530.0,9.93
HR,E,7.65,2021,2.03,11.22,24.6,25.15,3.22,26.06,31.94,7.5,2.7,15070.0,9.62
HR,E,7.56,2023,2.02,5.0,17.0,28.6,3.35,27.3,30.22,6.1,8.4,20530.0,9.93
HR,F,8.69,2021,2.16,4.85,12.5,23.31,3.15,8.44,9.07,7.5,2.7,15070.0,9.62
HR,F,9.22,2023,2.22,3.06,8.8,36.52,3.6,2.35,6.74,6.1,8.4,20530.0,9.93
HR,G,8.51,2021,2.14,8.51,18.6,25.71,3.25,15.18,25.05,7.5,2.7,15070.0,9.62
HR,G,8.9,2023,2.19,5.37,19.6,35.09,3.56,17.99,21.6,6.1,8.4,20530.0,9.93
HR,H,7.18,2021,1.97,7.52,16.8,29.12,3.37,11.86,17.12,7.5,2.7,15070.0,9.62
HR,H,7.48,2023,2.01,7.58,16.3,39.93,3.69,11.12,15.7,6.1,8.4,20530.0,9.93
HR,I,8.03,2021,2.08,7.38,7.7,25.22,3.23,7.34,12.18,7.5,2.7,15070.0,9.62
HR,I,8.51,2023,2.14,5.8,14.9,40.9,3.71,7.24,15.97,6.1,8.4,20530.0,9.93
HR,J,16.82,2021,2.82,25.8,68.1,60.54,4.1,78.66,69.7,7.5,2.7,15070.0,9.62
HR,J,17.49,2023,2.86,40.01,69.1,61.52,4.12,80.87,66.86,6.1,8.4,20530.0,9.93
HR,M,12.57,2021,2.53,13.25,62.5,36.15,3.59,22.52,42.15,7.5,2.7,15070.0,9.62
HR,M,13.0,2023,2.56,12.88,66.6,45.01,3.81,23.6,39.88,6.1,8.4,20530.0,9.93
HR,N,6.24,2021,1.83,5.16,15.5,22.77,3.13,16.08,23.68,7.5,2.7,15070.0,9.62
HR,N,6.85,2023,1.92,6.85,23.9,36.05,3.58,20.29,16.58,6.1,8.4,20530.0,9.93
HU,C,7.56,2021,2.02,4.0,16.9,29.41,3.38,30.72,17.25,4.0,5.2,16090.0,9.69
HU,C,7.29,2023,1.99,4.24,18.2,38.14,3.64,34.97,17.55,4.1,17.0,20540.0,9.93
HU,D,11.42,2021,2.44,9.55,39.4,73.85,4.3,38.46,33.74,4.0,5.2,16090.0,9.69
HU,D,10.27,2023,2.33,4.57,45.2,144.79,4.98,43.06,43.06,4.1,17.0,20540.0,9.93
HU,E,6.47,2021,1.87,3.55,18.9,19.93,2.99,42.35,18.65,4.0,5.2,16090.0,9.69
