freq,size_emp,nace_r2,indic_is,unit,geo\TIME_PERIOD	2012 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2022 	2024 
A,GE10,C,E_ITSP2_ITT2,PC_ENT,FI	: 	: 	: 	15.60 	18.67 	20.73 	20.07 	22.02 	22.85 	22.90 
A,GE10,C,E_ITSP2_ITT2,PC_ENT,FR	: 	: 	: 	10.68 	12.16 	12.37 	12.64 	11.19 	12.19 b	9.52 
A,GE10,C,E_ITSP2_ITT2,PC_ENT,HR	: 	: 	: 	8.50 	10.47 	10.85 	10.99 	9.71 	9.28 	7.73 
A,GE10,C,E_ITSP2_ITT2,PC_ENT,HU	: 	: 	: 	10.64 	9.85 	9.91 	11.74 	11.40 	13.78 	12.40 
A,GE10,C,E_ITSP2_ITT2,PC_ENT,IE	: 	: 	: 	21.80 	26.05 	21.92 	20.78 	19.14 	18.73 	21.56 
A,GE10,C,E_ITSP2_ITT2,PC_ENT,IT	: 	: 	: 	6.21 	5.62 	7.89 	9.36 	6.98 	8.58 	8.42 
A,GE10,C,E_ITSP2_ITT2,PC_ENT,LT	: 	: 	: 	5.38 	5.50 	6.28 	6.78 	7.93 	7.48 	8.26 
A,GE10,C,E_ITSP2_ITT2,PC_ENT,LU	: 	: 	: 	21.42 	25.57 	22.63 	21.04 	15.18 	20.13 	18.50 
A,GE10,C,E_ITSP2_ITT2,PC_ENT,LV	: 	: 	: 	5.05 	4.02 	4.21 	6.25 	7.98 	7.33 	7.28 
A,GE10,C,E_ITSP2_ITT2,PC_ENT,ME	: 	: 	: 	: u	12.34 	8.49 	7.34 	: u	8.16 	10.23 
A,GE10,C,E_ITSP2_ITT2,PC_ENT,MK	: 	: 	: 	3.83 	: 	: 	: 	4.32 	4.55 	: 
A,GE10,C,E_ITSP2_ITT2,PC_ENT,MT	: 	: 	: 	15.84 	12.16 	8.12 	11.56 	13.52 	17.63 	22.07 
A,GE10,C,E_ITSP2_ITT2,PC_ENT,NL	: 	: 	: 	15.17 	18.77 	16.55 	: 	17.31 	20.84 	19.69 
