freq,nace_r2,indic_sb,size_emp,geo,num_2016,flag_2016,num_2020,flag_2020
A,B,V12110,TOTAL,IT,43324.3,NaN,6199.8,NaN
A,B,V12110,TOTAL,LT,194.8,NaN,255.9,NaN
A,B,V12110,TOTAL,LU,76.1,NaN,84.8,NaN
A,B,V12110,TOTAL,LV,226.9,NaN,307.9,NaN
A,B,V12110,TOTAL,MK,,NaN,235.4,p
A,B,V12110,TOTAL,MT,30.2,NaN,23.0,NaN
A,B,V12110,TOTAL,NL,22273.7,NaN,11796.7,NaN
A,B,V12110,TOTAL,NO,60677.8,NaN,53381.1,NaN
A,B,V12110,TOTAL,PL,10759.2,NaN,11327.0,NaN
A,B,V12110,TOTAL,PT,918.5,NaN,1105.7,NaN
A,B,V12110,TOTAL,RO,4645.5,NaN,2229.5,NaN
A,B,V12110,TOTAL,RS,547.4,p,489.4,NaN
A,B,V12110,TOTAL,SE,4264.3,NaN,4148.1,NaN
