freq,size_emp,nace_r2,indic_is,unit,geo,2021,2023,2024,2025
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT_IUSE,SK,,15.63,,12.09
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT_IUSE,TR,,8.46,,10.77
A,GE10,C,E_AI_ADOWN,PC_ENT,AT,3.41,3.07,4.56,4.81
A,GE10,C,E_AI_ADOWN,PC_ENT,BE,2.91,2.79,3.1,4.72
A,GE10,C,E_AI_ADOWN,PC_ENT,BG,,0.58,0.55,0.73
A,GE10,C,E_AI_ADOWN,PC_ENT,CY,0.54,0.18,0.52,1.34
A,GE10,C,E_AI_ADOWN,PC_ENT,CZ,0.73,1.3,1.15,
A,GE10,C,E_AI_ADOWN,PC_ENT,DK,5.13,,4.81,
A,GE10,C,E_AI_ADOWN,PC_ENT,EE,1.03,0.82,3.63,
A,GE10,C,E_AI_ADOWN,PC_ENT,EL,0.39,0.98,1.14,1.55
A,GE10,C,E_AI_ADOWN,PC_ENT,ES,1.2,1.27,1.53,2.28
A,GE10,C,E_AI_ADOWN,PC_ENT,EU27_2020,1.35,,1.7,
A,GE10,C,E_AI_ADOWN,PC_ENT,FI,3.48,4.27,3.71,
A,GE10,C,E_AI_ADOWN,PC_ENT,FR,1.01,,1.15,2.53
A,GE10,C,E_AI_ADOWN,PC_ENT,HR,1.27,0.72,2.2,2.44
A,GE10,C,E_AI_ADOWN,PC_ENT,HU,1.23,1.33,0.67,1.28
A,GE10,C,E_AI_ADOWN,PC_ENT,LT,1.25,0.69,1.17,2.92
A,GE10,C,E_AI_ADOWN,PC_ENT,LU,,,5.1,3.71
A,GE10,C,E_AI_ADOWN,PC_ENT,LV,0.18,0.89,0.98,1.82
A,GE10,C,E_AI_ADOWN,PC_ENT,MT,0.71,0.3,1.26,2.32
A,GE10,C,E_AI_ADOWN,PC_ENT,NL,2.93,3.39,3.03,5.03
A,GE10,C,E_AI_ADOWN,PC_ENT,NO,2.5,2.65,1.51,2.74
A,GE10,C,E_AI_ADOWN,PC_ENT,PL,0.71,0.93,1.72,1.76
A,GE10,C,E_AI_ADOWN,PC_ENT,PT,1.2,1.26,0.84,1.36
A,GE10,C,E_AI_ADOWN,PC_ENT,SE,1.89,1.36,2.54,3.91
A,GE10,C,E_AI_ADOWN,PC_ENT,SI,2.46,2.43,1.11,1.21
A,GE10,C,E_AI_ADOWN,PC_ENT,SK,1.29,1.06,1.18,1.66
A,GE10,C,E_AI_ADOWN,PC_ENT,TR,,,,1.63
A,GE10,C,E_AI_ADOWN,PC_ENT_AI_TANY,AT,35.48,24.97,20.08,14.79
A,GE10,C,E_AI_ADOWN,PC_ENT_AI_TANY,BE,27.97,18.22,13.33,11.86
A,GE10,C,E_AI_ADOWN,PC_ENT_AI_TANY,BG,,22.61,12.57,13.82
A,GE10,C,E_AI_ADOWN,PC_ENT_AI_TANY,CY,26.25,4.73,17.43,31.48
A,GE10,C,E_AI_ADOWN,PC_ENT_AI_TANY,CZ,17.38,21.6,12.08,
A,GE10,C,E_AI_ADOWN,PC_ENT_AI_TANY,DK,18.79,,22.14,
A,GE10,C,E_AI_ADOWN,PC_ENT_AI_TANY,EE,38.03,26.13,37.16,
A,GE10,C,E_AI_ADOWN,PC_ENT_AI_TANY,EL,7.32,18.86,15.17,19.99
A,GE10,C,E_AI_ADOWN,PC_ENT_AI_TANY,ES,16.12,14.7,15.55,13.3
A,GE10,C,E_AI_ADOWN,PC_ENT_AI_TANY,EU27_2020,20.6,,17.07,
A,GE10,C,E_AI_ADOWN,PC_ENT_AI_TANY,FI,21.44,32.9,17.86,
A,GE10,C,E_AI_ADOWN,PC_ENT_AI_TANY,FR,18.94,,15.5,14.96
