freq,product,nrg_cons,unit,tax,currency,geo,2016,2020,flag_2016,flag_2020
S,6000,MWH20-499,KWH,X_TAX,NAC,ME,0.09040000000000001,0.0833,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,NAC,MK,6.33045,5.6387,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,NAC,MT,0.15675,0.15034999999999998,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,NAC,NL,0.0796,0.08145,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,NAC,NO,0.5689,0.43655,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,NAC,PL,0.44530000000000003,0.45535000000000003,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,NAC,PT,0.1238,0.09964999999999999,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,NAC,RO,0.3532,0.4871,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,NAC,RS,7.93665,10.1206,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,NAC,SE,0.6955,0.80945,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,NAC,SI,0.08615,0.09815,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,NAC,SK,0.13024999999999998,0.12,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,NAC,TR,0.24905,0.59955,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,NAC,UA,,1.84695,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,NAC,UK,0.0915,,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,NAC,XK,0.0858,0.0785,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,PPS,AL,,0.2017,NaN,e
S,6000,MWH20-499,KWH,X_TAX,PPS,AT,0.08305,0.0906,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,PPS,BA,0.1815,0.17254999999999998,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,PPS,BE,0.1115,0.10014999999999999,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,PPS,BG,0.21600000000000003,0.17335,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,PPS,CY,0.14715,0.13579999999999998,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,PPS,CZ,0.18145,0.1717,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,PPS,DE,0.0953,0.0909,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,PPS,DK,0.049699999999999994,0.0596,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,PPS,EA,0.099,0.09775,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,PPS,EE,0.11185,0.09725,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,PPS,EL,0.1393,0.1268,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,PPS,ES,0.1538,0.10655,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,PPS,EU27_2020,,0.10644999999999999,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,PPS,FI,0.06295,0.0646,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,PPS,FR,0.0786,0.09645,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,PPS,HR,0.15905000000000002,0.16525,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,PPS,HU,0.15155,0.16035,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,PPS,IE,0.12855,0.12924999999999998,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,PPS,IS,0.05325,0.0494,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,PPS,IT,0.10395,0.09915,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,PPS,LT,0.1447,0.14650000000000002,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,PPS,LU,0.07865,0.07730000000000001,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,PPS,LV,0.15875,0.13974999999999999,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,PPS,ME,0.18585000000000002,0.1652,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,PPS,MK,0.24795,0.19905,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,PPS,MT,0.19540000000000002,0.17145,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,PPS,NL,0.07355,0.0703,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,PPS,NO,0.04405,0.02885,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,PPS,PL,0.1884,0.16995,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,PPS,PT,0.15865,0.11715,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,PPS,RO,0.16115000000000002,0.1906,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,PPS,RS,0.14605,0.1619,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,PPS,SE,0.0581,0.061149999999999996,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,PPS,SI,0.10969999999999999,0.11675,NaN,NaN
